美元	美元 $ 💵 💲
毛里塔尼亚	毛里塔尼亚 🇲🇷
毛里塔尼亚伊斯兰共和国	毛里塔尼亚伊斯兰共和国 🇲🇷
蒙特塞拉特	蒙特塞拉特 🇲🇸
马耳他	马耳他 🇲🇹
马耳他共和国	马耳他共和国 🇲🇹
毛里求斯	毛里求斯 🇲🇺
毛里求斯共和国	毛里求斯共和国 🇲🇺
马尔代夫	马尔代夫 🇲🇻
马尔代夫共和国	马尔代夫共和国 🇲🇻
马拉维	马拉维 🇲🇼
马拉维共和国	马拉维共和国 🇲🇼
墨西哥	墨西哥 🇲🇽
墨西哥合众国	墨西哥合众国 🇲🇽
马来西亚	马来西亚 🇲🇾
莫桑比克	莫桑比克 🇲🇿
莫桑比克共和国	莫桑比克共和国 🇲🇿
纳米比亚	纳米比亚 🇳🇦
纳米比亚共和国	纳米比亚共和国 🇳🇦
新喀里多尼亚	新喀里多尼亚 🇳🇨
尼日尔	尼日尔 🇳🇪
尼日尔共和国	尼日尔共和国 🇳🇪
诺福克岛	诺福克岛 🇳🇫
尼日利亚	尼日利亚 🇳🇬
尼日利亚联邦	尼日利亚联邦 🇳🇬
尼日利亚联邦共和国	尼日利亚联邦共和国 🇳🇬
尼加拉瓜	尼加拉瓜 🇳🇮
尼加拉瓜共和国	尼加拉瓜共和国 🇳🇮
尼德兰	尼德兰 🇳🇱
荷兰	荷兰 🇳🇱
挪威	挪威 🇳🇴
挪威王国	挪威王国 🇳🇴
尼泊尔	尼泊尔 🇳🇵
瑙鲁	瑙鲁 🇳🇷
瑙鲁共和国	瑙鲁共和国 🇳🇷
纽埃	纽埃 🇳🇺
新西兰	新西兰 🇳🇿
阿曼	阿曼 🇴🇲
阿曼苏丹国	阿曼苏丹国 🇴🇲
巴拿马	巴拿马 🇵🇦
巴拿马共和国	巴拿马共和国 🇵🇦
秘鲁	秘鲁 🇵🇪
秘鲁共和国	秘鲁共和国 🇵🇪
法属波利尼西亚	法属波利尼西亚 🇵🇫
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布亚新几内亚独立国	巴布亚新几内亚独立国 🇵🇬
菲律宾	菲律宾 🇵🇭
菲律宾共和国	菲律宾共和国 🇵🇭
巴基斯坦	巴基斯坦 🇵🇰
巴基斯坦伊斯兰共和国	巴基斯坦伊斯兰共和国 🇵🇰
波兰	波兰 🇵🇱
波兰共和国	波兰共和国 🇵🇱
圣皮埃尔和密克隆群岛	圣皮埃尔和密克隆群岛 🇵🇲
皮特凯恩群岛	皮特凯恩群岛 🇵🇳
波多黎各	波多黎各 🇵🇷
巴勒斯坦领土	巴勒斯坦领土 🇵🇸
葡萄牙	葡萄牙 🇵🇹
葡萄牙共和国	葡萄牙共和国 🇵🇹
帕劳	帕劳 🇵🇼
帕劳共和国	帕劳共和国 🇵🇼
巴拉圭	巴拉圭 🇵🇾
巴拉圭共和国	巴拉圭共和国 🇵🇾
卡塔尔	卡塔尔 🇶🇦
卡塔尔国	卡塔尔国 🇶🇦
留尼汪	留尼汪 🇷🇪
罗马尼亚	罗马尼亚 🇷🇴
塞尔维亚	塞尔维亚 🇷🇸
塞尔维亚共和国	塞尔维亚共和国 🇷🇸
俄国	俄国 🇷🇺
俄罗斯	俄罗斯 🇷🇺
俄罗斯联邦	俄罗斯联邦 🇷🇺
卢旺达	卢旺达 🇷🇼
卢旺达共和国	卢旺达共和国 🇷🇼
沙特	沙特 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙特阿拉伯王国	沙特阿拉伯王国 🇸🇦
所罗门群岛	所罗门群岛 🇸🇧
塞舌尔	塞舌尔 🇸🇨
塞舌尔共和国	塞舌尔共和国 🇸🇨
苏丹	苏丹 🇸🇩
苏丹共和国	苏丹共和国 🇸🇩
瑞典	瑞典 🇸🇪
瑞典王国	瑞典王国 🇸🇪
新加坡	新加坡 🇸🇬
新加坡共和国	新加坡共和国 🇸🇬
圣赫勒拿	圣赫勒拿 🇸🇭
斯洛文尼亚	斯洛文尼亚 🇸🇮
斯洛文尼亚共和国	斯洛文尼亚共和国 🇸🇮
斯瓦尔巴和扬马延	斯瓦尔巴和扬马延 🇸🇯
斯洛伐克	斯洛伐克 🇸🇰
斯洛伐克共和国	斯洛伐克共和国 🇸🇰
塞拉利昂	塞拉利昂 🇸🇱
塞拉利昂共和国	塞拉利昂共和国 🇸🇱
圣马力诺	圣马力诺 🇸🇲
圣马力诺共和国	圣马力诺共和国 🇸🇲
塞内加尔	塞内加尔 🇸🇳
塞内加尔共和国	塞内加尔共和国 🇸🇳
索马里	索马里 🇸🇴
索马里联邦	索马里联邦 🇸🇴
索马里联邦共和国	索马里联邦共和国 🇸🇴
苏里南	苏里南 🇸🇷
苏里南共和国	苏里南共和国 🇸🇷
南苏丹	南苏丹 🇸🇸
南苏丹共和国	南苏丹共和国 🇸🇸
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣多美和普林西比民主共和国	圣多美和普林西比民主共和国 🇸🇹
萨尔瓦多	萨尔瓦多 🇸🇻
萨尔瓦多共和国	萨尔瓦多共和国 🇸🇻
圣马丁	圣马丁 🇸🇽
荷属圣马丁	荷属圣马丁 🇸🇽
叙利亚	叙利亚 🇸🇾
叙利亚共和国	叙利亚共和国 🇸🇾
阿拉伯叙利亚共和国	阿拉伯叙利亚共和国 🇸🇾
斯威士兰	斯威士兰 🇸🇿
斯威士兰王国	斯威士兰王国 🇸🇿
特里斯坦-达库尼亚	特里斯坦-达库尼亚 🇹🇦
特里斯坦-达库尼亚群岛	特里斯坦-达库尼亚群岛 🇹🇦
特克斯和凯科斯群岛	特克斯和凯科斯群岛 🇹🇨
乍得	乍得 🇹🇩
乍得共和国	乍得共和国 🇹🇩
法属南部领地	法属南部领地 🇹🇫
多哥	多哥 🇹🇬
多哥共和国	多哥共和国 🇹🇬
暹罗	暹罗 🇹🇭
泰国	泰国 🇹🇭
泰王国	泰王国 🇹🇭
塔吉克斯坦	塔吉克斯坦 🇹🇯
塔吉克斯坦共和国	塔吉克斯坦共和国 🇹🇯
托克劳	托克劳 🇹🇰
东帝汶	东帝汶 🇹🇱
东帝汶民主共和国	东帝汶民主共和国 🇹🇱
土库曼斯坦	土库曼斯坦 🇹🇲
突尼斯	突尼斯 🇹🇳
突尼斯共和国	突尼斯共和国 🇹🇳
汤加	汤加 🇹🇴
汤加王国	汤加王国 🇹🇴
土耳其	土耳其 🇹🇷
土耳其共和国	土耳其共和国 🇹🇷
特立尼达和多巴哥	特立尼达和多巴哥 🇹🇹
特立尼达和多巴哥共和国	特立尼达和多巴哥共和国 🇹🇹
图瓦卢	图瓦卢 🇹🇻
中华民国	中华民国 🇹🇼
青天白日旗	青天白日旗 🇹🇼
坦桑尼亚	坦桑尼亚 🇹🇿
坦桑尼亚联合共和国	坦桑尼亚联合共和国 🇹🇿
乌克兰	乌克兰 🇺🇦
乌干达	乌干达 🇺🇬
乌干达共和国	乌干达共和国 🇺🇬
美国本土外小岛屿	美国本土外小岛屿 🇺🇲
联合国	联合国 🇺🇳
星条旗	星条旗 🇺🇸
美利坚	美利坚 🇺🇸
美利坚合众国	美利坚合众国 🇺🇸
美国	美国 🇺🇸
乌拉圭	乌拉圭 🇺🇾
乌拉圭东岸共和国	乌拉圭东岸共和国 🇺🇾
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌兹别克斯坦共和国	乌兹别克斯坦共和国 🇺🇿
梵蒂冈	梵蒂冈 🇻🇦
梵蒂冈城国	梵蒂冈城国 🇻🇦
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
委内瑞拉	委内瑞拉 🇻🇪
委内瑞拉玻利瓦尔共和国	委内瑞拉玻利瓦尔共和国 🇻🇪
英属维尔京群岛	英属维尔京群岛 🇻🇬
美属维尔京群岛	美属维尔京群岛 🇻🇮
越南	越南 🇻🇳
越南社会主义共和国	越南社会主义共和国 🇻🇳
瓦努阿图	瓦努阿图 🇻🇺
瓦努阿图共和国	瓦努阿图共和国 🇻🇺
瓦利斯和富图纳	瓦利斯和富图纳 🇼🇫
萨摩亚	萨摩亚 🇼🇸
萨摩亚独立国	萨摩亚独立国 🇼🇸
科索沃	科索沃 🇽🇰
科索沃共和国	科索沃共和国 🇽🇰
也门	也门 🇾🇪
也门共和国	也门共和国 🇾🇪
马约特	马约特 🇾🇹
南非	南非 🇿🇦
南非共和国	南非共和国 🇿🇦
赞比亚	赞比亚 🇿🇲
赞比亚共和国	赞比亚共和国 🇿🇲
津巴布韦	津巴布韦 🇿🇼
津巴布韦共和国	津巴布韦共和国 🇿🇼
这里	这里 🈁
服务费	服务费 🈂️
无	无 🈚️
没有	没有 🈚️
指	指 🈯
禁	禁 🈲
空	空 🈳
空位	空位 🈳
合	合 🈴
合格	合格 🈴
没有空位	没有空位 🈵
满	满 🈵
满了	满了 🈵
满座	满座 🈵
收费	收费 🈶
有	有 🈶
有料	有料 🈶
月	月 🈷️
申	申 🈸
申请	申请 🈸
割	割 🈹
打折	打折 🈹
开门营业	开门营业 🈺
营	营 🈺
营业	营业 🈺
得	得 🉐
讨价还价	讨价还价 🉐
可	可 🉑
台风	台风 🌀
旋风	旋风 🌀
气旋	气旋 🌀
漩涡	漩涡 🌀
飓风	飓风 🌀
雾气	雾气 🌁
雾气笼罩的桥	雾气笼罩的桥 🌁
雾蒙蒙	雾蒙蒙 🌁
雾都	雾都 🌁
收起的伞	收起的伞 🌂
收起的雨伞	收起的雨伞 🌂
雨伞	雨伞 🌂 ☂️ ☔
半夜	半夜 🌃
夜晚	夜晚 🌃
星光闪闪的夜晚	星光闪闪的夜晚 🌃
晚上	晚上 🌃
深夜	深夜 🌃
大山日出	大山日出 🌄
山中日出	山中日出 🌄
山顶日出	山顶日出 🌄
日出	日出 🌄 🌅
旭日	旭日 🌄 🌅
旭日东升	旭日东升 🌄 🌅
傍晚	傍晚 🌆
暮色	暮色 🌆
暮色中的城市	暮色中的城市 🌆
黄昏	黄昏 🌆
夕阳	夕阳 🌇
大厦夕阳	大厦夕阳 🌇
日落	日落 🌇
落日	落日 🌇
彩虹	彩虹 🌈
夜幕下的桥	夜幕下的桥 🌉
夜间大桥	夜间大桥 🌉
夜间的大桥	夜间的大桥 🌉
大桥	大桥 🌉
桥	桥 🌉
大浪	大浪 🌊
波浪	波浪 🌊
浪	浪 🌊
浪花	浪花 🌊
火山	火山 🌋
火山喷发	火山喷发 🌋
火山爆发	火山爆发 🌋
星空	星空 🌌
银河	银河 🌌
银河系	银河系 🌌
地球仪	地球仪 🌍 🌎 🌏
欧洲	欧洲 🌍
欧洲地球仪	欧洲地球仪 🌍
欧洲非洲	欧洲非洲 🌍
欧洲非洲地球仪	欧洲非洲地球仪 🌍
欧非地球仪	欧非地球仪 🌍
非洲	非洲 🌍
非洲地球仪	非洲地球仪 🌍
非洲欧洲	非洲欧洲 🌍
美洲	美洲 🌎
美洲地球仪	美洲地球仪 🌎
亚洲	亚洲 🌏
亚洲地球仪	亚洲地球仪 🌏
亚洲澳洲	亚洲澳洲 🌏
亚澳地球仪	亚澳地球仪 🌏
澳亚地球仪	澳亚地球仪 🌏
澳洲	澳洲 🌏 🇦🇺
澳洲亚洲	澳洲亚洲 🌏
澳洲地球仪	澳洲地球仪 🌏
地球	地球 🌐 🌍 🌎 🌏
子午线	子午线 🌐
经纬线	经纬线 🌐
新月	新月 🌑 🌚
朔月	朔月 🌑 🌚
月食	月食 🌒 🌘
残月	残月 🌒 🌘
眉月	眉月 🌒 🌘
蛾眉月	蛾眉月 🌒 🌘
上弦月	上弦月 🌓 🌛
盈凸月	盈凸月 🌔
圆月	圆月 🌕 🌝
月球	月球 🌕
满月	满月 🌕 🌝
亏凸月	亏凸月 🌖
下弦月	下弦月 🌗 🌜
弯月	弯月 🌙
月亮	月亮 🌙
月牙	月牙 🌙
微笑的新月	微笑的新月 🌚
微笑的朔月	微笑的朔月 🌚
微笑的上弦月	微笑的上弦月 🌛
微笑的下弦月	微笑的下弦月 🌜
微笑的月亮	微笑的月亮 🌝
微笑的满月	微笑的满月 🌝
微笑的太阳	微笑的太阳 🌞
闪亮的星星	闪亮的星星 🌟
闪耀的星星	闪耀的星星 🌟
流星	流星 🌠
许愿	许愿 🌠
温度计	温度计 🌡
少云	少云 🌤
晴偶有云	晴偶有云 🌤
白日小云	白日小云 🌤
下雨	下雨 🌧
雨	雨 🌧
雨云	雨云 🌧
下雪	下雪 🌨 ❄️
雪云	雪云 🌨
打雷	打雷 🌩
雷云	雷云 🌩
龙卷风	龙卷风 🌪
雾	雾 🌫
雾霾	雾霾 🌫
霾	霾 🌫
吹口气	吹口气 🌬
吹拂	吹拂 🌬
吹风	吹风 🌬
风吹拂	风吹拂 🌬
风吹拂的脸	风吹拂的脸 🌬
热狗	热狗 🌭
卷饼	卷饼 🌮 🌯
墨西哥卷饼	墨西哥卷饼 🌮 🌯
墨西哥薄饼卷	墨西哥薄饼卷 🌮
煎饼馃子	煎饼馃子 🌯
鸡肉卷	鸡肉卷 🌯
老北京鸡肉卷	老北京鸡肉卷 🌯
板栗	板栗 🌰
栗子	栗子 🌰
榛子	榛子 🌰
发芽	发芽 🌱
嫩苗	嫩苗 🌱
幼苗	幼苗 🌱
常青树	常青树 🌲
松树	松树 🌲
大树	大树 🌳
树	树 🌳
树木	树木 🌳
落叶树	落叶树 🌳
棕榈	棕榈 🌴
棕榈树	棕榈树 🌴
仙人掌	仙人掌 🌵
红辣椒	红辣椒 🌶
辣椒	辣椒 🌶
花	花 🌷
郁金香	郁金香 🌷
樱花	樱花 🌸
玫瑰	玫瑰 🌹
玫瑰花	玫瑰花 🌹
红玫瑰	红玫瑰 🌹
木槿	木槿 🌺
木槿花	木槿花 🌺
芙蓉	芙蓉 🌺
芙蓉花	芙蓉花 🌺
向日葵	向日葵 🌻
向阳花	向阳花 🌻
太阳花	太阳花 🌻
追日花	追日花 🌻
逐日花	逐日花 🌻
开花	开花 🌼
开花了	开花了 🌼
波斯菊	波斯菊 🌼
花朵	花朵 🌼
雏菊	雏菊 🌼
玉米	玉米 🌽
苞米	苞米 🌽
水稻	水稻 🌾
稻穗	稻穗 🌾
小麦	小麦 🌾
麦子	麦子 🌾
中药	中药 🌿
草本植物	草本植物 🌿
草药	草药 🌿
药草	药草 🌿
香草	香草 🌿
草	草 🌿
四叶草	四叶草 🍀
幸运草	幸运草 🍀
幸运	幸运 🍀
枫叶	枫叶 🍁
枫树叶	枫树叶 🍁
落叶	落叶 🍂
叶子	叶子 🍃
树叶	树叶 🍃
小蘑菇	小蘑菇 🍄
蘑菇	蘑菇 🍄
棕蘑菇	棕蘑菇 🍄‍🟫
番茄	番茄 🍅
西红柿	西红柿 🍅
茄子	茄子 🍆
提子	提子 🍇
葡萄	葡萄 🍇
哈密瓜	哈密瓜 🍈
新疆瓜	新疆瓜 🍈
甜瓜	甜瓜 🍈
蜜瓜	蜜瓜 🍈
吃瓜	吃瓜 🍉
西瓜	西瓜 🍉
柑橘	柑橘 🍊
橘子	橘子 🍊
蜜橘	蜜橘 🍊
柠檬	柠檬 🍋
酸	酸 🍋
青柠	青柠 🍋‍🟩
香蕉	香蕉 🍌
凤梨	凤梨 🍍
菠萝	菠萝 🍍
小苹果	小苹果 🍎 🍏
红苹果	红苹果 🍎
苹果	苹果 🍎 🍏
绿苹果	绿苹果 🍏
青苹果	青苹果 🍏
梨	梨 🍐
梨子	梨子 🍐
雪梨	雪梨 🍐
香梨	香梨 🍐
仙桃	仙桃 🍑
桃	桃 🍑
桃子	桃子 🍑
樱桃	樱桃 🍒
车厘子	车厘子 🍒
草莓	草莓 🍓
汉堡	汉堡 🍔
汉堡包	汉堡包 🍔
吃比萨	吃比萨 🍕
吃比萨饼	吃比萨饼 🍕
比萨	比萨 🍕
比萨饼	比萨饼 🍕
吃披萨	吃披萨 🍕
吃披萨饼	吃披萨饼 🍕
披萨	披萨 🍕
披萨饼	披萨饼 🍕
吃肉	吃肉 🍖
带骨肉	带骨肉 🍖
排骨	排骨 🍖
肉	肉 🍖 🥩
肉肉	肉肉 🍖 🥩
家禽的腿	家禽的腿 🍗
家禽腿	家禽腿 🍗
鸡腿	鸡腿 🍗
鸡腿儿	鸡腿儿 🍗
米果	米果 🍘
米饼	米饼 🍘
饭团	饭团 🍙
大米	大米 🍚
大米饭	大米饭 🍚
煮熟的饭	煮熟的饭 🍚
米饭	米饭 🍚
吃饭	吃饭 🍚
咖喱	咖喱 🍛
咖喱饭	咖喱饭 🍛
一碗面	一碗面 🍜
冒热气的碗	冒热气的碗 🍜
吃面	吃面 🍜
拉面	拉面 🍜
碗面	碗面 🍜
面条	面条 🍜
泡面	泡面 🍜
米线	米线 🍜
米粉	米粉 🍜
过桥米线	过桥米线 🍜
汤面	汤面 🍜
手擀面	手擀面 🍜
意大利面	意大利面 🍝
意大利面条	意大利面条 🍝
意粉	意粉 🍝
意面	意面 🍝
拌面	拌面 🍝
葱油拌面	葱油拌面 🍝
炸酱面	炸酱面 🍝
火鸡面	火鸡面 🍝
面包	面包 🍞
薯条	薯条 🍟
地瓜	地瓜 🍠
烤地瓜	烤地瓜 🍠
烤甘薯	烤甘薯 🍠
烤番薯	烤番薯 🍠
烤红薯	烤红薯 🍠
甘薯	甘薯 🍠
番薯	番薯 🍠
红薯	红薯 🍠
团子	团子 🍡
糯米团	糯米团 🍡
串串	串串 🍢
关东煮	关东煮 🍢
寿司	寿司 🍣
天妇罗	天妇罗 🍤
炸虾	炸虾 🍤
盘绕式炸鱼饼	盘绕式炸鱼饼 🍥
鱼板	鱼板 🍥
鱼饼	鱼饼 🍥
冰淇淋	冰淇淋 🍦 🍨
冰激凌	冰激凌 🍦 🍨
冰淇凌	冰淇凌 🍦 🍨
冰激淋	冰激淋 🍦 🍨
圆筒冰淇淋	圆筒冰淇淋 🍦
圆筒冰激凌	圆筒冰激凌 🍦
甜筒	甜筒 🍦
软冰淇淋	软冰淇淋 🍦
软冰激凌	软冰激凌 🍦
圣代	圣代 🍨
冰沙	冰沙 🍧
刨冰	刨冰 🍧
油炸面圈	油炸面圈 🍩
甜甜圈	甜甜圈 🍩
cookie	cookie 🍪
cookies	cookies 🍪
曲奇	曲奇 🍪
曲奇饼干	曲奇饼干 🍪
饼干	饼干 🍪
巧克力	巧克力 🍫
巧克力棒	巧克力棒 🍫
朱古力	朱古力 🍫
朱古力棒	朱古力棒 🍫
吃糖	吃糖 🍬
糖	糖 🍬
糖果	糖果 🍬
棒棒糖	棒棒糖 🍭
布丁	布丁 🍮
甜品	甜品 🍮
甜点	甜点 🍮
蛋奶糕	蛋奶糕 🍮
蜂蜜	蜂蜜 🍯
蜜罐	蜜罐 🍯
水果蛋糕	水果蛋糕 🍰
便当	便当 🍱
便当盒	便当盒 🍱
外卖	外卖 🍱 🥡
快餐	快餐 🍱
快餐盒	快餐盒 🍱
盒饭	盒饭 🍱
平底锅	平底锅 🍳
烹饪	烹饪 🍳
煎蛋	煎蛋 🍳
刀叉	刀叉 🍴
喝茶	喝茶 🍵
泡茶	泡茶 🍵
茶	茶 🍵
茶杯	茶杯 🍵
茶水	茶水 🍵
绿茶	绿茶 🍵
红茶	红茶 🍵
白茶	白茶 🍵
黑茶	黑茶 🍵
乌龙茶	乌龙茶 🍵
抹茶	抹茶 🍵
端茶	端茶 🍵
清酒	清酒 🍶
红酒杯	红酒杯 🍷
葡萄酒	葡萄酒 🍷
酒	酒 🍷
酒杯	酒杯 🍷
鸡尾酒	鸡尾酒 🍸
冷饮	冷饮 🍹
果饮	果饮 🍹
水果饮料	水果饮料 🍹
热带水果饮料	热带水果饮料 🍹
热带饮料	热带饮料 🍹
果茶	果茶 🍹
果汁	果汁 🍹 🧃
啤酒	啤酒 🍺
干杯	干杯 🍻 🥂
碰杯	碰杯 🍻 🥂
喝奶	喝奶 🍼
奶瓶	奶瓶 🍼
餐具	餐具 🍽
开香槟	开香槟 🍾
香槟	香槟 🍾
爆米花	爆米花 🍿
蝴蝶结	蝴蝶结 🎀
包装	包装 🎁
包装盒	包装盒 🎁
礼品	礼品 🎁
礼品盒	礼品盒 🎁
礼物盒	礼物盒 🎁
生日蛋糕	生日蛋糕 🎂
蛋糕	蛋糕 🎂 🍰
万圣节	万圣节 🎃
南瓜头	南瓜头 🎃
南瓜灯	南瓜灯 🎃
圣诞树	圣诞树 🎄
圣诞老人	圣诞老人 🎅
烟花	烟花 🎆 🎇
焰火	焰火 🎆 🎇
礼花	礼花 🎆 🎇 🎉
庆典	庆典 🎈
气球	气球 🎈
恭喜	恭喜 🎉
派对礼宾花	派对礼宾花 🎉
礼宾花	礼宾花 🎉
祝贺	祝贺 🎉
五彩纸屑球	五彩纸屑球 🎊
彩色碎纸	彩色碎纸 🎊
碎花彩球	碎花彩球 🎊
糖果球	糖果球 🎊
七夕	七夕 🎋
七夕树	七夕树 🎋
七夕节	七夕节 🎋
交叉旗	交叉旗 🎌
门松	门松 🎍
竹	竹 🎍
竹子	竹子 🎍
日本人偶	日本人偶 🎎
日本人形	日本人形 🎎
日本娃娃	日本娃娃 🎎
鲤鱼旗	鲤鱼旗 🎏
风铃	风铃 🎐
中秋	中秋 🎑
中秋佳节	中秋佳节 🎑
中秋节	中秋节 🎑
观月	观月 🎑
赏月	赏月 🎑
书包	书包 🎒
双肩包	双肩包 🎒
背包	背包 🎒
背囊	背囊 🎒
四方帽	四方帽 🎓
学士帽	学士帽 🎓
毕业帽	毕业帽 🎓
军功勋章	军功勋章 🎖
军功章	军功章 🎖
勋章	勋章 🎖
丝带	丝带 🎗
黄丝带	黄丝带 🎗
录音室麦克风	录音室麦克风 🎙
录音麦克风	录音麦克风 🎙
麦克风	麦克风 🎙 🎤
滑块	滑块 🎚
电平滑块	电平滑块 🎚
控制旋钮	控制旋钮 🎛
旋钮	旋钮 🎛
电影	电影 🎞
电影胶片	电影胶片 🎞
胶卷	胶卷 🎞
胶片	胶片 🎞
菲林	菲林 🎞
入场券	入场券 🎟
旋转木马	旋转木马 🎠
游乐园	游乐园 🎠
摩天轮	摩天轮 🎡
过山车	过山车 🎢
渔竿	渔竿 🎣
钓竿	钓竿 🎣
钓鱼	钓鱼 🎣
钓鱼竿	钓鱼竿 🎣
话筒	话筒 🎤
摄像机	摄像机 🎥 📹
摄录机	摄录机 🎥
摄影机	摄影机 🎥
电影摄影机	电影摄影机 🎥
电影院	电影院 🎦
头戴式耳机	头戴式耳机 🎧
耳机	耳机 🎧
画画	画画 🎨
美术	美术 🎨
艺术	艺术 🎨
调色板	调色板 🎨
调色盘	调色盘 🎨
帽子	帽子 🎩
礼帽	礼帽 🎩
高帽	高帽 🎩
马戏	马戏 🎪
马戏团	马戏团 🎪
马戏团帐篷	马戏团帐篷 🎪
门票	门票 🎫
action	action 🎬
场记	场记 🎬
场记板	场记板 🎬
打板	打板 🎬
拍电影	拍电影 🎬
表演艺术	表演艺术 🎭
面具	面具 🎭
手柄	手柄 🎮
游戏	游戏 🎮
游戏手柄	游戏手柄 🎮
电子游戏手柄	电子游戏手柄 🎮
视频游戏手柄	视频游戏手柄 🎮
命中	命中 🎯
正中靶心的飞镖	正中靶心的飞镖 🎯
靶心	靶心 🎯
飞镖	飞镖 🎯
老虎机	老虎机 🎰
赌博	赌博 🎰 🎲
赌场	赌场 🎰
台球	台球 🎱
黑八	黑八 🎱
色子	色子 🎲
酒桌游戏	酒桌游戏 🎲
骰子	骰子 🎲
保龄球	保龄球 🎳
保龄球瓶	保龄球瓶 🎳
扑克牌	扑克牌 🎴
花扑克牌	花扑克牌 🎴
花札	花札 🎴
花牌	花牌 🎴
音乐	音乐 🎵 🎶
音符	音符 🎵 🎶
管弦乐器	管弦乐器 🎷
萨克斯	萨克斯 🎷
萨克斯管	萨克斯管 🎷
萨克斯风	萨克斯风 🎷
吉他	吉他 🎸
电吉他	电吉他 🎸
琴键	琴键 🎹
钢琴	钢琴 🎹
钢琴按键	钢琴按键 🎹
钢琴键	钢琴键 🎹
音乐键盘	音乐键盘 🎹
小号	小号 🎺
小提琴	小提琴 🎻
提琴	提琴 🎻
乐谱	乐谱 🎼
五线谱	五线谱 🎼
运动背心	运动背心 🎽
网球	网球 🎾
滑雪橇	滑雪橇 🎿
滑雪装备	滑雪装备 🎿
篮球	篮球 🏀
格子旗	格子旗 🏁
终点	终点 🏁
终点旗	终点旗 🏁
单板滑雪	单板滑雪 🏂
滑雪板	滑雪板 🏂
女子马拉松	女子马拉松 🏃‍♀️‍➡️ 🏃‍♀️
向左跑	向左跑 🏃‍♂️ 🏃‍♀️
往左跑	往左跑 🏃‍♂️ 🏃‍♀️
跑步	跑步 🏃‍♂️ 🏃‍♀️
跑步者	跑步者 🏃‍♂️ 🏃‍♀️
马拉松	马拉松 🏃‍♂️ 🏃‍♀️
向右跑	向右跑 🏃‍♂️‍➡️ 🏃‍♀️‍➡️
往右跑	往右跑 🏃‍♂️‍➡️ 🏃‍♀️‍➡️
男子马拉松	男子马拉松 🏃‍♂️‍➡️ 🏃‍♂️
女子冲浪	女子冲浪 🏄‍♀️
女生冲浪	女生冲浪 🏄‍♀️
冲浪	冲浪 🏄‍♂️ 🏄‍♀️
冲浪者	冲浪者 🏄‍♂️ 🏄‍♀️
男子冲浪	男子冲浪 🏄‍♂️
男生冲浪	男生冲浪 🏄‍♂️
奖牌	奖牌 🏅
运动会奖牌	运动会奖牌 🏅
冠军	冠军 🏆
奖杯	奖杯 🏆
赛马	赛马 🏇
赛马骑师	赛马骑师 🏇
骑马	骑马 🏇 🐎
橄榄球	橄榄球 🏈 🏉
美式橄榄球	美式橄榄球 🏈
美式足球	美式足球 🏈
英式橄榄球	英式橄榄球 🏉
女子游泳	女子游泳 🏊‍♀️
女生游泳	女生游泳 🏊‍♀️
泳客	泳客 🏊‍♂️ 🏊‍♀️
游泳	游泳 🏊‍♂️ 🏊‍♀️
游泳者	游泳者 🏊‍♂️ 🏊‍♀️
男子游泳	男子游泳 🏊‍♂️
男生游泳	男生游泳 🏊‍♂️
女举重运动员	女举重运动员 🏋️‍♀️
女子举重	女子举重 🏋️‍♀️
女生举重	女生举重 🏋️‍♀️
举重	举重 🏋️‍♂️ 🏋️‍♀️
举重运动员	举重运动员 🏋️‍♂️ 🏋️‍♀️
男举重运动员	男举重运动员 🏋️‍♂️
男子举重	男子举重 🏋️‍♂️
男生举重	男生举重 🏋️‍♂️
女子高尔夫	女子高尔夫 🏌️‍♀️
女生打高尔夫	女生打高尔夫 🏌️‍♀️
打高尔夫	打高尔夫 🏌️‍♂️ 🏌️‍♀️
打高尔夫的人	打高尔夫的人 🏌️‍♂️ 🏌️‍♀️
男子高尔夫	男子高尔夫 🏌️‍♂️
男生打高尔夫	男生打高尔夫 🏌️‍♂️
高尔夫	高尔夫 🏌️‍♂️ 🏌️‍♀️ ⛳
高尔夫球手	高尔夫球手 🏌️‍♂️ 🏌️‍♀️
摩托	摩托 🏍
摩托车	摩托车 🏍
方程式赛车	方程式赛车 🏎
赛车	赛车 🏎
板球	板球 🏏
板球拍	板球拍 🏏
排球	排球 🏐
曲棍球	曲棍球 🏑
冰球	冰球 🏒
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
雪山	雪山 🏔
高山	高山 🏔
营地	营地 🏕
野营	野营 🏕
露营	露营 🏕
太阳伞	太阳伞 🏖
度假	度假 🏖
沙滩伞	沙滩伞 🏖 ⛱️
建筑施工	建筑施工 🏗
施工	施工 🏗 🚧
起重机	起重机 🏗
居民区	居民区 🏘
房屋群	房屋群 🏘
城市	城市 🏙
城市景观	城市景观 🏙
城市风光	城市风光 🏙
都市	都市 🏙
都市景观	都市景观 🏙
都市风光	都市风光 🏙
危楼	危楼 🏚
废弃的房屋	废弃的房屋 🏚
荒宅	荒宅 🏚
博物馆	博物馆 🏛
