#兼容所有拼音类型的公共简码库	
gj	感觉	根据	关键
hht	还好听
hhu	活化石	挥挥手	好好说
hhw	化合物
hil	回潮率	很吃力	后处理
hip	火车票
hiq	缓冲区	豁出去	火出圈
hiy	还处于
hkg	很可观
hkn	很可能
hkp	很靠谱
hlh	好厉害	很厉害	合理化
hlj	黑龙江	狐狸精
hll	回来了	灰溜溜	轰隆隆
hlu	花露水	行列式
hlx	合理性
hmd	黑名单	还没动	缓慢的
hmh	还没好
hmj	护目镜	蛤蟆镜
hmy	还没有	鸿门宴	黄梅雨
hnk	贺年卡	后脑壳
hnl	很努力	会努力	湖南路
hnw	海内外	汉诺威
hpl	很漂亮	害怕了	好评率
hqg	很奇怪	好奇怪
hqx	好奇心	很庆幸	很清晰
hti	火腿肠	糊涂虫
hul	换手率	黄鼠狼	和事佬
huz	红十字	活受罪
hvl	号召力
hwb	红卫兵
hwl	好无聊	很无聊
hxg	好习惯	虹吸管
hxh	很喜欢	海协会	还喜欢
hxi	候选窗	火星车
hxk	很辛苦	候选框
hxn	和稀泥	好想你
hxq	好心情	幻想曲
hxr	候选人	好心人
hxu	好像是	化学式
hxx	好消息	坏消息	候选项
hxy	坏心眼
hxz	黑匣子
hyg	还有个	换一个	好一个
hys	好意思	会有所
hyv	换言之	后遗症	换一种
hyw	何意味	还以为	火药味
hyy	黑黝黝	化验员
hzm	还在吗	孩子们
hzn	还早呢
hzq	孩子气	盒子枪
ibd	差不多	成本低
ibg	吃不惯	丑八怪	超不过
ibl	吃饱了	差不了	差不离
ibq	出不去	撑不起
ibu	出版社	长白山	成本是
icu	纯粹是	储藏室
idu	称得上	成都市	传达室
ihh	茶话会	臭烘烘	超豪华
ikq	喘口气	窗口期
ill	出来了	赤裸裸
inp	吹牛皮
ipz	秤盘子
iql	出去了	充其量	重启了
iqt	出气筒	常青藤
irb	传染病
irf	吃软饭
ism	传送门
itg	床头柜	抽屉柜	车同轨
iub	炊事班
ivq	沉住气	成长期
ivw	称之为	楚庄王
iwg	储物柜	唱完歌	宠物狗
iwl	成为了	吃完了
ixb	插线板	出血病	畅销榜
ixu	畅销书	超现实	出现时
ixv	初学者	赤霞珠
ixx	持续性	穿小鞋	超小型
ixy	程序员	产学研	程序猿
ixz	出现在	朝鲜族	趁现在
iyd	差一点	常言道
iyg	成员国	差一个
iyh	差异化	产业化
iyl	差远了	扯远了	产业链
iym	出远门	纯爷们
iyz	常用字	吃柚子	出月子
izv	创作者	创造者
izx	创造性
jbg	基本功
jbh	绝不会	金不换	决不会
jbi	讲不出
jbk	几百块
jbl	解不了
jbn	就不能	决不能	绝不能
dky	都可以
jbq	经不起	记不清	就不去
jbu	基本上	绝不是
jbv	禁不住	记不住	架不住
jbx	就不行	聚丙烯
jby	就不要
jcy	仅次于	检测仪
jdh	机顶盒	简单化	简单鹤
jdv	景德镇	经得住	几点钟
jfj	解放军	进房间
jfl	解放了	杰弗里
jgg	九宫格	就刚刚	结构光
jgi	军工厂	加工厂	进工厂
jgq	几个钱	机关枪
jgr	几个人	交割日
jgs	见光死	及格赛	进公司
jgt	结构图	贱骨头	就给他
jgv	紧箍咒	几个钟	就跟着
jgx	结构性	进攻性	金龟婿
jgy	几个月	节骨眼	加工业
jhl	就好了	进化论	急坏了
jhu	几乎是	交互式	九华山
jhv	结婚证	结婚照
jhx	就好像	计划性	几何学
jhy	就会有	嫁祸于
jhz	简化字	叫花子	就会在
jjb	精简版	交接班	就基本
jjd	简洁	就觉得	渐渐的
jjh	几句话	基金会	交际花
jjj	见解	歼击机	叫叫叫
jjq	加进去	经济区	锦江区
jju	究竟是	狙击手	旧金山
jjv	紧接着	佼佼者
jjw	纪检委	拒绝我	救救我
jjx	简洁	经济学	积极性
jkd	寄快递
jkk	据可靠
jkl	加快了	进口量	经看了
jkn	尽可能	极可能
jku	教科书
jky	就可以
jlb	俱乐部	加勒比	接力棒
jll	角落里	积累率
jlp	纪录片	就离谱	吉隆坡
jlr	经理人
jlv	军令状	居留证
jnq	几年前
jpg	卷铺盖
jqb	剪切板
jqr	机器人
jrl	加入了	进入了
jug	几十个	就是个
jsj	计算机	结算价
jsl	就算了	急死了
jsq	计算器	加速器
jsu	就算是	江苏省	近似商
jtb	剪贴板	脚踏板	就特别
jut	精神头	嚼舌头
jvd	就知道	精致的
jvg	价值观	金针菇	九寨沟
jvh	江浙沪	镜中花
jvl	竞争力	记住了
jvu	简直是	就直说	建筑师
jvw	建筑物	急转弯
jvx	甲状腺	集装箱	就这些
jvy	就这样	就职于	肩周炎
jxq	解析器	交响曲	阶下囚
jzg	节奏感	架子鼓	就做个
jzl	就走了	镜子里	君子兰
jzr	尽责任
kbi	看不出	看不穿	空白处
kbq	看不起	看不清
kbt	看不透	可不填
kbu	看不上	可不是
kbz	哭鼻子	扛把子	快步走
kcl	看错了	坑惨了
kdr	肯定让
kfb	开发版
kfj	咖啡机	空房间
kgl	看过了	考过了
kgq	开过去
kgx	客观性	考古系
kgz	嗑瓜子
khd	客户端	可获得
kil	看出来	看穿了	开创了
kjj	快捷键	哭唧唧	科技界
klk	看了看	开了口
kll	卡路里	空落落	客流量
klu	昆仑山	快乐水
kly	窟窿眼	看了眼
kmd	孔明灯	苦命的
kmu	开幕式	昆明市
knb	可能被	可能吧
knd	可能都	跨年度	可能对
knu	可能是	可能使
kny	可能有	肯尼亚
kqb	狂犬病	哭去吧
kqk	看情况	口腔科
kql	看起来	开启了
krj	苦肉计	可溶解
ksl	坑死了	克苏鲁	开塞露
kti	口头禅	开天窗
kuj	跨世纪	开始就
kuv	口水战	口水仗
kvb	看着办	看着吧
qvl	驱逐令	卡住了
kwc	开胃菜
kwl	快完了
kwx	开玩笑	颗卫星
kxj	科学家	科学界
kxl	可惜了	扛下了
kxs	苦行僧	苦相思
kyi	开夜车	可以吃
kyk	看一看	可以看
kyl	可以了	可用来
kyu	可以说	跨越式
kyx	看一下	可用性	快一些
kyz	看样子	可以在
kzj	看自己
kzl	卡在了
kzy	看走眼	抠字眼
lbq	了不起	理不清	冷兵器
lbs	老不死	萝卜丝
ldf	老地方	劳动法
ldh	拉丁化	来电话
ldl	劳动力	来到了	聊得来
ldv	劳动者
lfb	两分半
lfm	两方面	立方米	老父母
lfq	老父亲	来福枪	立法权
lgf	劳改犯	驴肝肺	洛国富
lgl	利滚利	了过来
lgq	卢沟桥	了过去
lgz	两个字	六个字
lhl	厉害了	老黄历	来衡量
lhn	氯化钠	老黄牛
llh	老龄化	拦路虎	联络函
lll	来了	啦啦啦	狼来了
llq	浏览器	拉力器
lnr	老年人	辽宁人
lpb	老婆本
lql	连起来	了起来
lsy	类似于	硫酸盐
luz	劳什子
ltg	立体感	龙头股
lth	两天后
ltq	愣头青	乱弹琴	两天前
ltt	老太太	立体图
ltw	立陶宛	量体温
lty	老天爷	领头羊
ltz	烂摊子	老头子	撂挑子
lux	历史学	临时性
lvp	连珠炮
lxj	连续剧	老学究	螺旋桨
lxu	两小时	老先生	旅行社
lyg	另一个	老眼光	了一个
lyt	老一套	老油条
lyz	老样子	老爷子	老油子
mbd	买不到	忙不迭
mbf	没办法
mbl	明白了	免不了
mbv	明摆着	摸不着	没保障
mbx	面包屑	没保险	没兵线
mdb	没得比	木地板
mdd	目的地	买得到
mdh	牡丹花	马大哈	忙得很
mdl	麦当劳	马德里
mdx	买东西	目的性
mdz	慢动作	没胆子
mfy	没反应	眯缝眼
mgh	玫瑰花	湄公河	玫瑰红
mgr	每个人	某个人	美国人
mhp	马后炮
mhv	迷魂阵
mhy	模糊音	马虎眼	蒙汗药
mjh	每句话	没机会
mjl	没救了	孟加拉
mjv	目击者	没记住
mkg	没看够
mlg	摩洛哥	买了个
mlh	命令行	茉莉花	母老虎
mlm	摸了摸	没礼貌
mlq	卖力气	买路钱	没力气
mlx	昧良心	免礼姓
mmb	没明白	密码本
mmt	摸摸头
mmu	明明是	慢慢刷
mmz	萌妹子	没面子	明明在
mng	摩纳哥	没那个
mnq	模拟器
mnz	满脑子	没脑子
mph	门牌号	冒牌货
mpj	马屁精
mql	没钱了	米其林	煤气炉
mqz	马前卒	煤气灶	目前在
mrf	魔然繁
mrh	猛如虎
mrj	魔然简	美人计	猛然间
mrl	没人理	没人了	没人来
mrr	毛茸茸	毛绒绒
mrv	默认值
mrx	没人性	慢热型	明日香
msb	没事吧	慢三步	没死吧
mud	没事的
mug	没事干	冒失鬼	面试官
muj	没时间
msk	莫斯科	马赛克
mul	没事了	马上来
mum	没什么
msu	貌似是
muz	美术字	马上做
mtg	没听过	没停过	没通过
mht	明后天	猕猴桃	棉花糖
mth	摩托化	满堂红	没调好
mti	摩托车	木糖醇	买糖吃
mub	没事吧	门市部
mue	没事儿	马绍尔
mvd	没找到	明知道	民主党
mvg	没这个	满洲国
mvx	毛主席	买这些	瞄准线
mwh	没文化	门外汉
mwj	没忘记
mwt	没问题	蒙文通
mxh	没学会	没想好
mxn	每学年	没悬念
mxq	没兴趣	每星期	没心情
mxy	莫须有	没响应	毛星云
myf	每一份	每一分	免运费
myg	每一个	某一个	没用过
myl	没有了	免疫力	沐浴露
myp	慢一拍	每一批	闷油瓶
myq	牧羊犬
myt	每一天	麦芽糖	某一天
myv	每一种	贸易战	某一种
myw	每一位	某一位
myx	每一项	没有像
mzl	满足了	名字里
mzz	美滋滋
naw	你爱我
nbd	弄不懂	拿不定	拿不动
nbe	尼泊尔	诺贝尔
nbh	弄不好	捏把汗	那不会
nbi	难不成	南北朝	那不成
nbn	能不能	难不难
nbx	你不信	那不行
ndd	你懂的	难度大	难得的
ndu	难道说	那倒是	那都是
ndw	难道我	耐低温	你逗我
ngb	南瓜饼
ngm	你干嘛	闹革命
ngr	那个人	你个人
ngs	能告诉
nhh	闹哄哄	黏糊糊	那还好
nhl	脑回路	拿回来	脑海里
nhz	女孩子	男孩子
nip	农产品
njg	那几个	哪几个
njh	那句话	那家伙	闹饥荒
njj	牛角尖	你究竟
njl	凝聚力	农家乐	你将来
njr	娘家人
njv	南极洲	哪几种	那简直
njy	诺基亚	你就要
nku	那可是
nlv	奴隶制	奴隶主
nmb	那么办	弄明白
nmg	内蒙古	那么高	农民工
nmj	那么久	你们家
nml	你们俩
nnb	你牛逼
npw	你陪我
npy	女朋友	男朋友
nqd	年轻的	你确定
nql	拿起来	哪去了
nqr	年轻人	女强人	那群人
nqu	年轻时
nrw	你认为	女人味
ntj	哪条街
nud	你说的
nuh	那时候
nvw	闹着玩	你找我
nvz	那阵子
nwq	难为情	你无情	诺维奇
nxh	女性化	男性化	闹笑话
nxr	那些人	哪些人	宁夏人
nyg	哪一个	你应该
nyj	那一句	你已经	农业局
nyl	哪一类
nyt	那一天	那一套	哪一天
nyu	你也是	那也是
nyv	哪一种	那一种
nyy	暖洋洋	你愿意
nzh	男子汉	你最好
nzl	脑子里	拿走了
nzw	农作物	你作为
ooo	哦哦哦
pbg	皮包骨	跑不过	拼不过
pbl	跑不了
pbu	配不上	赔不是	怕不是
pdg	平底锅	配得感
pdl	判断力	潘多拉	跑掉了
pdu	配得上	偏导数
pdz	碰钉子
pgl	跑过来
pgq	跑过去
phb	排行榜	排好版
pil	批处理
pjh	啤酒花	跑江湖
plh	漂亮话	破烂货	批量化
plm	拼了命	婆罗门	派拉蒙
plu	泼冷水	铺路石	普鲁士
pmk	贫民窟
pmp	拍马屁	拼命跑
pnd	骗你的
pnr	泡女人
pql	抛弃了	爬起来	跑起来
psg	怕死鬼
pum	凭什么
ptd	普通的	骗他的
pth	普通话	破天荒
ptj	葡萄酒	普通级	配套件
pul	凭实力	排水量	盘山路
pvb	平装本	配置包	配置表
pwd	骗我的
pxp	拍胸脯	拍相片
qad	亲爱的	淇澳岛
qbg	气不过	敲边鼓
qbj	前不久	起步价	情报局
qbl	去不了	起不来
qbq	瞧不起	去不去	强不强
qbt	丘比特	前半天	千比特
qbu	且不说	却不是	岂不是
qdl	取得了	气动力	强多了
qdx	确定性	确定下
qfr	签发人
qfw	全方位	抢饭碗
qgd	穷光蛋	屈光度	奇怪的
qjf	强奸犯	全家福	穷举法
qjn	前几年	请教您	区间内
qjr	全家人	前几日
qju	起居室	情景时
qkl	巧克力	区块链	气哭了
qkx	情况下
qlh	起来嗨	秋老虎
qll	起来了
qlq	瞧了瞧
qlt	前两天	群聊天
qlx	请联系	强类型	前列腺
qly	千里眼	清凉油
qsb	去死吧	去送吧
qud	请稍等
qsl	气死了	穷死了	前苏联
qvg	敲竹杠	全中国
qvt	穷折腾	去找他
qvu	牵着手
qwb	翘尾巴
qxl	取消了	取下了	全系列
qxy	倾向于	趋向于	缺心眼
qys	清一色
qyt	前一天
qyw	前一晚	窃以为	全英文
qyz	起源自	奇亚籽
qzd	全自动	潜在的	却遭到
qzl	去做了
rbu	若不是	人本身
rbv	忍不住	肉搏战
rcm	人聪明	容错码
bre	不入耳
jcq	寄存器
rfz	人贩子
rgd	日光灯	如果到
rgt	如果他	如果她	软骨头
rhl	如何了	日活量
rhr	任何人
rjd	人家的
rjq	乳胶漆	扔进去
rlf	人来疯	如来佛	燃料费
rmb	人民币	软面包
rmd	人民党	人们的
rpl	人跑了
rql	人齐了	肉起来
ruh	热水壶
rxi	热心肠	日系车
rxq	扔下去	人心齐
ryr	人与人	忍一忍
rzl	人走了
rzn	孺子牛
sbl	算不了	随便了	死不了
sbx	四不像	三八线	塞不下
scy	三次元	塞擦音
sdu	算得上	苏打水	所得税
sdv	所导致
sfq	伺服器	三分球	私房钱
sfv	三分钟	散发着
sgj	死规矩	撒个娇
sgr	三个人	四个人
sgy	三个月	四个月
sjb	三句半	随机本
sjd	三季度	四季度	松紧带
sjg	三极管	三鞠躬
sjx	三角形	时间线	随机性
sld	塑料袋	撕裂的
sli	三轮车	四轮车
uma	什么啊
umc	是没错	什么词
umd	疏密度	什么的
umg	神秘感	审美观	什么鬼
umj	双面胶	什么叫	上面级
umr	睡美人	神秘人	什么人
umu	市面上	说明书	说没说
smx	三门峡	丧门星
umy	是没有	守门员	什么样
snj	三年级	四年级	死脑筋
sqv	三千丈
sru	虽然是
srx	三人行
uuk	试试看	说说看
swd	四五点	所谓的
swu	四五十	三位数	散文诗
sxl	私下里	死心了	算下来
sxy	死心眼	所吸引
syd	所有的
syn	所以能	所以呢
syr	所有人	所以然
uys	啥意思	是一所
syv	所有制	所有值
syw	私以为
szm	臊子面	撒子嘛
tbd	听不懂	听不到	特别的
tbi	听不出	逃不出	特别长
tbq	听不清	贴标签
tbt	疼不疼	听不听	痛不痛
tbu	特别是	谈不上
tbx	停不下
tcl	太惨了	太菜了	听错了
tdd	特定的	听得懂	太多的
tdj	特等奖	土地局
tdl	太多了	太大了	推动力
tdx	天底下	铁道线
teq	土耳其	胎儿期
tfg	托付给	通风管
tfw	铁饭碗	他反问
tgj	铁公鸡	通关节
tgl	太高了	太贵了
tgq	弹钢琴	挺过去
tgu	听故事
thl	太好了	太坏了	糖葫芦
til	跳出来	提出来
tjz	土家族	套接字
tkl	太快了	拓宽了	太困了
tkp	太可怕
tkq	叹口气	探口气	太靠前
tlt	推了推	舔了舔	谈了谈
tmb	挑毛病	他们把
tml	太慢了	太忙了	他们俩
tnb	糖尿病	太牛逼
tnl	太难了	太牛了	听腻了
tnw	太难为
tqk	通气孔
tql	听起来	太强了	钛镪钌
tqt	抬起头
trw	他认为	她认为
tsg	替死鬼	碳酸钙
ttd	妥妥的	通通电	甜甜的
ttk	听听看	塔塔开
ttq	透透气	甜甜圈	通通气
ttv	团团转	太天真
tug	图书馆	听说过
tul	太少了	太帅了
tuq	调试器
tvj	天主教	太直接	弹指间
tvl	通胀率	偷着乐	通知栏
tvv	统治者	挑战者
txd	剃须刀	天晓得	妥协的
txl	通讯录	太小了	同性恋
txq	拖下去
tyb	退一步	掏腰包	他一边
tyl	同意了	图一乐
typ	拖油瓶	头一炮
tzy	替罪羊	投资于
ubd	说不定	舍不得	收不到
ubi	说不出	首班车	上半场
ubl	说白了	受不了	上班了
ubt	双胞胎	说不通	傻白甜
ubu	是不是	时不时	手把手
ubx	睡不醒	双保险	时必须
udf	士大夫	水电费	史蒂夫
udh	说得好	说大话	瘆得慌
udj	圣诞节	睡大觉	水电局
udl	收到了	受得了	上当了
udz	书呆子	设定在
uen	十二年
ues	十二岁	十二三
ufv	身份证	十分钟
ugh	说怪话	手工活
ugl	受够了
uhf	生活费
uhl	说好了
uhq	生活区	耍花腔
uhv	受害者	水浒传	耍花招
ujg	世界观	十几个
ujk	数据库
ujl	睡觉了
uju	实际上	试金石	手机上
ujx	时间线	数据线	上进心
ukq	顺口气
uld	手榴弹
ull	上来了	水灵灵	湿漉漉
ulm	耍流氓
ulu	试了试	石榴石
umh	沙漠化	书名号	什么话
uml	生命力	说明了
umx	生命线	石墨烯	神秘学
unj	伤脑筋	神农架	霎那间
unq	上哪去
upz	生僻字	屎盆子	水瓶座
uql	失去了	说起来
uqm	沙琪玛	双曲面
uqn	十七年	数千年	上千年
uqu	申请书	手牵手	神枪手
urf	输入法
urx	水溶性	伤人心
uum	是什么
usn	十三年
uuu	事实上
utb	手提包	石头杯
uty	晒太阳	渗透压
uup	少数派	啥水平
uuq	上上签	舒适区	上升期
uvl	睡着了
uvp	少壮派
uvq	水蒸气	生殖器	生长期
uvx	实质性	市中心
uwg	上万个
uwh	十五号	上午好
uwj	税务局	睡午觉	尚雯婕
uwl	食物链	耍无赖	是为了
uww	爽歪歪	水汪汪	十五万
uxb	上下班	双下巴	手写板
uxg	摄像管	鼠须管
uxq	实习期	说下去	市辖区
uxu	陕西省	山西省
uxw	上下文	双学位
uxy	商学院	受限于	耍心眼
uyb	实验班	试用版
uyg	上一个	是一个
uyn	上一年	十一年	十余年
uyq	试用期	使用权
uyu	实验室	说一说	试一试
uyx	说一下	实用性	试一下
uzg	水族馆	十字镐
uzn	十字弩
uzu	实在是
van	猪啊你
vbg	只不过	战败国
vbh	准备好	治不好	真不会
vbl	转不了	中不溜	准备了
vcg	这才敢
vdb	中短波	这都被
vdh	这段话	招待会	真的很
vdl	找到了	战斗力	知道了
vdu	真的是	这倒是
vfb	支付宝
vfg	脂肪肝	政府工
vfx	正方形
vgl	诸葛亮
vgr	这个人	整个人	撰稿人
vgz	这个字	涨工资	政工组
vhk	真好看
vhs	指挥所	真会算
vhz	正好在
vil	支持率
vjt	这几天	中间体	只见他
vjv	这几种	中继站
vkl	逐客令	展开了
vku	这可是	专科生
vlh	展览会	纸老虎	质量好
vlj	重量级	主力军
vmc	这么惨	捉迷藏	这么菜
vmd	这么的	这么点	这么多
vmg	这么贵	芝麻官	这么怪
vmh	这么好	这么坏	专门化
vmi	这么差	种马场	贮木场
vmj	这么久	真没劲	芝麻酱
vmk	这么快	这么卡	这门课
vml	注目礼	这么懒	这么溜
vmn	这么难	啄木鸟	这么牛
vmq	这么强	这么巧	这么穷
vms	这貌似	詹姆斯
vmu	这么说	这么少	证明书
vmv	这么长	中美洲	这么着
vmx	这么想	这么小	这么香
vmy	这么远	这么样	这么有
vnh	智能化	中南海
vnj	滞纳金	这你就	智能机
vnl	正能量	找你了
vnr	中年人	只能让
vnu	只能说	终南山	之能事
vny	只能有
vql	站起来	正确率	准确率
vqq	转圈圈
vqt	竹蜻蜓
vrj	主人家
vth	招贴画	这挺好
vtj	状态机	整天价	整条街
vtq	主题曲	阵痛期
vvd	真正的	转折点	执政党
vvh	这种话	政治化	着重号
vvk	政治课	找找看
vvz	这阵子
vwd	中纬度	爪哇岛
vwh	执委会	中午好
vwk	赚外快
vwr	债务人	植物人
vxb	遮羞布	中西部	中小板
vxg	主心骨	照相馆	轴心国
vxh	这些话	真心话
vxl	执行力	主旋律	执行率
vxr	这些人	知心人	执行人
vxu	中学生	直辖市	这些是
vxy	只需要	只限于	中西医
vxz	这下子	追星族	直性子
vyd	这样的	中药店	这一点
vyg	找一个	正义感	这有个
vyh	职业化	专业户	这一回
vyj	转眼间	照妖镜	这样就
vyk	专业课	这一块	这样看
vyl	注意力	这样了	这一类
vyn	这一年
vys	重元素	这也算	这意思
vyu	主要是	这也是	占优势
vyv	志愿者	主义者	朱元璋
vyw	正因为	中英文	只因为
vyx	重要性	睁眼瞎	这也行
vyy	着眼于	占有欲
vzq	著作权	重灾区
wbh	我不会	五笔画	网不好
wbl	微波炉	忘不了	玩不来
wbu	未必是	五步蛇	我不是
wbx	我不信	五边形
wby	我不用
wbz	歪脖子
wdb	五点半	温度表
wdd	无底洞	稳定的
wdl	无敌了	完蛋了	我懂了
wdm	伪代码	五斗米
wdn	我带你	玩电脑
wdt	我的天	问答题
wfv	五分钟	五分制	为防止
wgl	玩够了	问过了	万公里
wgn	亡国奴	瓦格纳	我给你
wgr	外国人	五个人
whr	外行人	五花肉	文化人
wht	万花筒	我和他
wjj	文件夹	挖掘机
wjl	忘记了
wkl	乌克兰	我看了
wlm	无理码	往里面
wlt	无厘头	玩两天
wlw	物联网	问了问	五里雾
wlz	无论在
wmd	我们的
wmj	我们家	外卖架	我没进
wmm	雾蒙蒙	未命名	我妈妈
wmn	我们能
wms	我貌似
wmu	我没事	无名氏	我们是
wmv	无名指	五秒钟
wmz	我们在
wnf	窝囊废	往南方
wnj	五年级	忘年交	万能键
wnl	万年历	玩腻了	维尼纶
wqj	挖墙脚	无穷尽
wrw	我认为	误认为
wum	为什么	乌纱帽
wuu	我是谁
wsw	无所谓	萎缩纹
wtm	维他命	我他妈	为他们
wtu	问题是	五台山	委托书
wuh	晚上好
wus	维生素
wvj	无止境	王昭君
wvt	捂着头
wvv	我找找	文绉绉	无症状
wwk	玩玩看
wxr	外星人	外乡人	崴星人
wyb	万用表	晚一步	我也不
wyh	委员会
wyj	无意间	望远镜	违约金
wyu	我也是	无疑是	无意识
wyw	文言文	误以为	玩一玩
wyx	问一下	玩游戏	闻一下
wyz	乌鸦嘴	我也在
wzl	屋子里	我做了
xbd	想不到
xbh	学不会	修不好	细胞核
xbj	相比较	香槟酒
xbk	星巴克	想不开
xbl	下班了	下不来	小白脸
xbq	想不起	新标签	相比起
xbu	下半身	小白鼠
xbx	想不想	行不行	信不信
xct	西餐厅
xdb	修订版	现代版
xdl	想多了	想到了	学到了
xdn	想当年	许多年
xdt	心电图	行得通
xdz	小动作	小肚子
xfd	小幅度	消防队	先锋队
xfl	西番莲	笑翻了
xgg	小哥哥	膝盖骨	修改稿
xgl	习惯了	醒过来
xgm	想过没
xgn	小姑娘	想跟你	新概念
xgu	习惯上	性格上	小故事
xhb	小伙伴	小汇报	小黑板
xhe	小孩儿	歇会儿
xhl	学会了	想好了	西葫芦
xhq	血汗钱	下回去
xhu	小红书	西红柿	新华社
xhy	歇后语	小黄鱼	夏侯渊
xhz	小孩子	小伙子	熊孩子
xjb	性价比	写剧本
xjj	玄简君	小姐姐	洗洁精
xjx	戏剧性	先进性	下决心
xkk	先看看
xkl	辛苦了	下课铃
xld	性冷淡	巡逻队
xlh	心里话	小狼毫
xll	下来了	血淋淋
xlx	心理学	想了想	笑了笑
xly	夏令营	叙利亚
xqe	星期二	小企鹅
xql	想起来	想起了	星期六
xsl	笑死了	下三滥	新思路
xum	小市民	些什么
xtl	想通了	希特勒
xuz	消失在	形声字	小叔子
xvf	休止符	县政府	乡政府
xvt	瞎折腾	旋转体	小纸条
xvu	线装书	县知事
xvx	象征性	想这些	限制性
xvz	掀桌子
xwl	想歪了	学完了
xxn	谢谢你	相信你
xyg	下一个	协约国	选一个
xyl	吸引力	匈牙利
xys	小意思
xyz	小燕子	小姨子
xzb	心脏病	小字报	现在不
xzd	小字典	现在的
xzk	现在看
xzl	选择了	写字楼
xzn	现在能
xzu	现在是	协作社
xzy	现在有	写作业
xzz	喜滋滋	现在在
ybb	一步步	一般般	眼巴巴
ybt	也不太
ybw	用不完	也不晚
ycc	一次次
ycd	药材店	一次的
ycl	原材料	以此来
ycx	一次性
ydb	一大半	一大把	一大帮
ydd	一点点	一大堆	移动端
yde	一点儿	有点儿	有点二
ydf	一顿饭	羊癫疯	与对方
ydg	一等功	有代沟	遇到过
ydh	一定会	一段话	运动会
ydj	一大截	一等奖	邮电局
ydk	一大块	一道坎	一大口
ydl	有道理	意大利	一定量
ydm	源代码	有多么
ydn	一定能	雅典娜
ydq	一刀切	一大群	阅读器
ydr	有的人	一代人	一堆人
ydu	一定是	有道是	应当说
ydv	用得着	源地址	一党制
ydx	有点像	运动鞋	压倒性
ydy	一定要	运动员	约等于
ydz	一大早	一肚子	一袋子
yez	一而再	幺蛾子	因而在
yfm	一方面	与父母
yfq	一分钱	要分清	与父亲
yfu	乐府诗	语法树
yfv	一分钟	预防针	与发展
yfx	一封信	原发性	运费险
ygg	一个个	圆鼓鼓	有广告
ygj	一个劲	一根筋	压根就
ygl	英格兰	有规律
ygn	应该能	一股脑
ygr	一个人	英国人
ygt	硬骨头
ygu	应该是	应该说	月桂树
ygw	应该问
ygx	有关系	应该像	一贯性
ygy	一个月	摇滚乐	鱼肝油
ygz	一个字	洋鬼子	裕固族
yhk	银行卡
yhl	一回来	月活量
yhz	硬汉子	一会再
ykl	亚克力
ylb	一览表	英联邦
yld	医疗队	一两点	伊利丹
ylg	一两个	易拉罐	有两个
ylh	一两回	颜料盒	有灵魂
yll	又来了	要来了	圆溜溜
ylm	月亮门	赢了吗	跃龙门
ylu	原来是	一路上	阅览室
ylv	意料中	医疗站	言论中
yly	越来越	有利于	有理由
ylz	原来在	一揽子
ymb	有毛病	要明白
ymg	幽默感	玉门关
yml	阴谋论	压马路	源目录
ymy	有没有	圆明园	也没有
yqg	要求高	一千个
yql	用起来	一起来	引起来
yqr	一群人	有钱人
yqu	尤其是	与其说	摇钱树
yqw	野蔷薇	一千五	一起玩
yqx	一起向	一起想
yqz	一起做	一清早
yum	鸭舌帽	有什么
ysq	隐私权	压岁钱
yte	英特尔
ytf	以太坊
ytl	一条路	一条龙	有条理
yvd	也知道	一盏灯	眼中钉
yvi	一指禅	也支持
yvr	意中人	宇宙人	亚洲人
yvt	一整天	一整套	摇着头
yvu	也只是	一只手
yvx	一致性	严重性	一炷香
yvy	以至于	有助于	一转眼
ywd	英伟达	一窝端
ywf	一窝蜂	燕尾服	也无法
ywq	冤枉钱	圆舞曲
ywu	以为是	一晚上	医务室
ywv	意味着	有完整
yxc	鱼腥草	一小撮	有瑕疵
yxd	一想到	一小段	压箱底
yxg	优先股	有效果
yxh	一席话	一小会	要学会
yxj	游戏机	优先级	右下角
yxq	有兴趣	有效期
yxr	有些人	有心人	一些人
yxu	一小时	意向书	也许是
yxz	一下子	要选择
yyj	预言家	有意见	压压惊
yyq	游泳圈	一夜情
yyt	有一天	有一套	摇摇头
yzl	原子量	又咋了	园子里
zbd	做不到	在不断
zbh	做不好	总不会
zbj	资本家	总编辑	再不济
zbk	走不开	在半空
zbl	做不了	资本论	走不了
zbx	坐标系	再不行
zbz	在不在	做不做
zdb	子弟兵	坐地板
vdd	知道的
zdh	自动化	最大化	做得好
zdl	做到了	遭到了	走丢了
sdt	死对头
zdw	总吨位	在逗我
zdx	总担心
zdy	自定义	总动员
zfi	字符串	再分成
zgi	走过场	在工厂
zgl	足够了	走过来	做鬼脸
zgm	在干嘛
zgq	走过去
zgr	最感人
zgz	自顾自	做工作	在工作
zhh	藏红花	脏乎乎
zhk	最好看
zhl	做好了	载货量
zhm	走后门
zht	再回头	纵横谈
zhu	最好是	咋回事
zhx	综合性	自画像	在火星
zjd	自己的	总觉得	最近的
zjg	自己干
zjl	总经理	增加了
zjn	早几年
vju	这件事	浙江省	这就是
zjx	总结性	自觉性	在进行
zjy	自驾游	自解压
zlx	再联系
zly	坐落于	棕榈油	自来也
zlz	坐落在	载流子	造轮子
zmb	怎么办	怎么不
zmc	怎么才
zmd	走马灯	怎么读	在面对
zmg	怎么搞	怎么关	赞美歌
zmh	怎么会	最美好
